method,train_set,test_set,scenario,error
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.645070894301739
centroid,POCO#STANDING,POCO#STANDING,auto,1.315216982025715
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.315216982025715
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.315216982025715
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.315216982025715
centroid,POCO#STANDING,POCO#STANDING,auto,2.3532391839415068
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.3532391839415068
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.3532391839415068
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.3532391839415068
centroid,POCO#STANDING,POCO#STANDING,auto,2.491856606174865
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.491856606174865
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.491856606174865
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.491856606174865
centroid,POCO#STANDING,POCO#STANDING,auto,3.77447097860628
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,3.77447097860628
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,3.77447097860628
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,3.77447097860628
centroid,POCO#STANDING,POCO#STANDING,auto,1.289457134298846
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.289457134298846
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.289457134298846
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.289457134298846
centroid,POCO#STANDING,POCO#STANDING,auto,2.27984718335386
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.27984718335386
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.27984718335386
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.27984718335386
centroid,POCO#STANDING,POCO#STANDING,auto,0.852896041958807
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.852896041958807
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.852896041958807
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.852896041958807
centroid,POCO#STANDING,POCO#STANDING,auto,2.8625137789164072
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.8625137789164072
